iter	Passed	Remaining
0	6	599
1	11	565
2	16	541
3	22	536
4	27	527
5	32	512
6	38	507
7	46	531
8	51	525
9	57	516
10	62	506
11	68	499
12	74	495
13	80	497
14	86	488
15	91	480
16	96	472
17	102	466
18	113	482
19	118	474
20	123	464
21	129	459
22	135	453
23	141	446
24	146	439
25	151	432
26	157	426
27	163	419
28	168	413
29	176	411
30	182	405
31	187	398
32	192	391
33	198	385
34	203	378
35	209	372
36	214	365
37	220	359
38	225	352
39	231	346
40	239	344
41	245	338
42	250	332
43	256	327
44	262	321
45	268	314
46	273	308
47	278	302
48	284	295
49	289	289
50	295	283
51	303	280
52	309	274
53	315	268
54	321	262
55	327	257
56	333	251
57	339	245
58	344	239
59	350	233
60	356	227
61	361	221
62	369	216
63	374	210
64	380	204
65	385	198
66	390	192
67	397	186
68	403	181
69	408	175
70	414	169
71	420	163
72	426	157
73	432	152
74	438	146
75	443	140
76	449	134
77	454	128
78	460	122
79	467	116
80	473	110
81	478	105
82	485	99
83	491	93
84	497	87
85	502	81
86	507	75
87	513	69
88	519	64
89	525	58
90	531	52
91	537	46
92	542	40
93	548	35
94	554	29
95	561	23
96	565	17
97	571	11
98	576	5
99	581	0
